product_name,category,avg_rating,avg_price,review_count,text
"Adonai POT1.5LPINK Rice Cooker, Food Steamer, Travel Cooker, Slow Cooker, Electr",Adonai Rice,3.6,599.0,200,Best in the market! Mind-blowing purchase Does the job Terrible product Fair Worth every penny Decent product Good Not recommended at all Absolute rubbish!
Aero Seeds 40 Varieties of Flower Combo Pack Seed(2050 per packet),Aero Seeds,3.96,194.0,500,Highly recommended Classy product Really Nice Very Good Perfect product! Value-for-money Worth every penny Excellent Worth the money Awesome
Aero Seeds Aero Seeds 45 Varieties 2700+ seeds(Organic/Hybrid) Fruits & Vegetabl,Aero Seeds,3.67,184.0,300,Good Excellent Great product Best in the market! Wonderful Fair Classy product Mind-blowing purchase Nice product Good choice
Airtel Airtel Universal Setup box Remote Digital Setup box Universal Remote Airt,Airtel Airtel,3.7714285714285714,209.0,70,Super! Really Nice Nice Worth the money Very Good Slightly disappointed Classy product Excellent Really Nice Delightful
"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controll",Airtel Dth,4.1891891891891895,215.0,37,Super! Excellent Fabulous! Does the job Nice product Brilliant Simply awesome Delightful Just wow! Bad quality
Airtel Regular Digital TV DTH Remote Compatible with SD and HD Recording (Black),Airtel Regular,4.024390243902439,215.0,123,nice product and perfect product Terrific Worth the money Best in the market! Worth the money Decent product Super! Awesome Value-for-money Simply awesome
Airtel Regular Digital TV SD/HD DTH Compatible Remote UNIVERSAL Remote Controlle,Airtel Regular,3.97,209.0,100,Terrific Great product Terrific purchase Terrific Excellent Perfect product! Excellent Really Nice Perfect product! Bad quality
"Alex Daisy Universal Plastic Desk Chair(Finish Color - Pink & White, DIY(Do-It-Y",Alex Daisy,4.6,9950.0,10,Terrific Just wow! Mind-blowing purchase Just wow! Utterly Disappointed Just wow! Brilliant Fabulous! Must buy! Worth every penny
Allwin Home Cleaning 360 Spin Floor Cleaning Easy Advance Tech Bucket PVC Mop & ,Allwin Home,3.686046511627907,699.0,86,Not recommended at all Not recommended at all Nice product Decent product Super! Worth every penny Nice product Excellent Did not meet expectations Wonderful
Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday fo,Anayatech Solid,4.23,277.0,100,Mind-blowing purchase Great product Best in the market! Good quality product Terrific purchase Perfect product! Pretty good Terrific purchase Super! Excellent
"Ang Refill kit Compatible Dye ink for HP cartridge 805, 803, 680, 678, 682, 818,",Ang Refill,3.735,421.0,200,Worth every penny Worth the money Terrific Perfect product! Pretty good Super! Excellent Value-for-money Mind-blowing purchase Nice product
AnshiEnterises 30 METER METALLIC BLUE HOSE PIPE ( INCH 12 mm) WITH 7 PATTERN WAT,AnshiEnterises METER,3.45,1249.0,20,Classy product Perfect product! Must buy! Horrible Absolute rubbish! Did not meet expectations Not recommended at all Nice product Moderate Very Good
"AnshiEnterises FLEXIBLE YELLOW HOSE PIPE ( INCH ,12 mm) With Water Spray Gun Hos",AnshiEnterises FLEXIBLE,3.91,544.0,100,Worth every penny Worth the money Just wow! Super! Worth the money Just wow! Must buy! Worth the money Excellent Perfect product!
"Apple 20W ,USB-C Power Charging Adapter for iPhone, iPad & AirPods??(White)",Apple,4.406896551724138,1899.0,290,Just wow! Great product Brilliant Must buy! Wonderful Excellent Worth the money Terrific purchase Worst experience ever! Super!
Aquagrand SkyLand 18 Ltr RO + UV + UF + TDS Water Purifier 18 L RO + UV + UF + T,Aquagrand SkyLand,2.71,4687.0,200,Terrific purchase Super! Awesome Not recommended at all Just wow! Nice product Good choice Excellent Absolute rubbish! Worst experience ever!
"Arpita Crafts HEARTHOME Wood Key Holder(7 Hooks, Beige)",Arpita Crafts,4.0,159.0,100,Perfect product! Highly recommended Simply awesome Very Good Good quality product Pretty good Nice Just wow! Value-for-money Must buy!
